UTC -11 (NUT, Niue Time);
UTC -11 (SST, Samoa Standard Time);
UTC -10 (CKT, Cook Island Time);
UTC -10 (HST, Hawaii Standard Time);
UTC -10 (TAHT, Tahiti Time);
UTC -9 (AKST, Alaska Standard Time);
UTC -9 (GAMT, Gambier Time);
UTC -9 (HDT, Hawaii-Aleutian Daylight Time);
UTC -9:30 (MART, Marquesas Time);
UTC -8 (AKDT, Alaska Daylight Time);
UTC -8 (PST, Pacific Standard Time);
UTC -8 (PST, Pitcairn Standard Time);
UTC -8:00 / -7:00 (PT, Pacific Time);
UTC -7 (MST, Mountain Standard Time);
UTC -7 (PDT, Pacific Daylight Time);
UTC -7:00 / -6:00 (MT, Mountain Time);
UTC -6 (CST, Central Standard Time);
UTC -6 (EAST, Easter Island Standard Time);
UTC -6 (GALT, Galapagos Time);
UTC -6 (MDT, Mountain Daylight Time);
UTC -6:00 / -5:00 (CT, Central Time);
UTC -5 (ACT, Acre Time);
UTC -5 (CDT, Central Daylight Time);
UTC -5 (CIST, Cayman Islands Standard Time);
UTC -5 (COT, Colombia Time);
UTC -5 (CST, Cuba Standard Time);
UTC -5 (EASST, Easter Island Summer Time);
UTC -5 (ECT, Ecuador Time);
UTC -5 (EST, Eastern Standard Time);
UTC -5 (PET, Peru Time);
UTC -5:00 / -4:00 (ET, Eastern Time);
UTC -4 (AMT, Amazon Time);
UTC -4 (AST, Atlantic Standard Time);
UTC -4 (BOT, Bolivia Time);
UTC -4 (CDT, Cuba Daylight Time);
UTC -4 (CIDST, Cayman Islands Daylight Saving Time);
UTC -4 (CLT, Chile Standard Time);
UTC -4 (EDT, Eastern Daylight Time);
UTC -4 (FKT, Falkland Island Time);
UTC -4 (GYT, Guyana Time);
UTC -4 (PYT, Paraguay Time);
UTC -4 (VET, Venezuelan Standard Time);
UTC -4:00 / -3:00 (AT, Atlantic Time);
UTC -3 (ADT, Atlantic Daylight Time);
UTC -3 (AMST, Amazon Summer Time);
UTC -3 (ART, Argentina Time);
UTC -3 (BRT, Brasília Time);
UTC -3 (CLST, Chile Summer Time);
UTC -3 (FKST, Falkland Islands Summer Time);
UTC -3 (GFT, French Guiana Time);
UTC -3 (PMST, Pierre & Miquelon Standard Time);
UTC -3 (PYST, Paraguay Summer Time);
UTC -3 (ROTT, Rothera Time);
UTC -3 (SRT, Suriname Time);
UTC -3 (UYT, Uruguay Time);
UTC -3 (WARST, Western Argentine Summer Time);
UTC -3 (WGT, West Greenland Time);
UTC -3:30 (NST, Newfoundland Standard Time);
UTC -2 (BRST, Brasília Summer Time);
UTC -2 (FNT, Fernando de Noronha Time);
UTC -2 (GST, South Georgia Time);
UTC -2 (PMDT, Pierre & Miquelon Daylight Time);
UTC -2 (UYST, Uruguay Summer Time);
UTC -2 (WGST, Western Greenland Summer Time);
UTC -2:30 (NDT, Newfoundland Daylight Time);
UTC -1 (AZOT, Azores Time);
UTC -1 (CVT, Cape Verde Time);
UTC -1 (EGT, East Greenland Time);
UTC (UTC, Coordinated Universal Time);
UTC +0 (AZOST, Azores Summer Time);
UTC +0 (EGST, Eastern Greenland Summer Time);
UTC +0 (GMT, Greenwich Mean Time);
UTC +0 (WET, Western European Time);
UTC +0 (WT, Western Sahara Standard Time);
UTC +1 (BST, British Summer Time);
UTC +1 (CET, Central European Time);
UTC +1 (IST, Irish Standard Time);
UTC +1 (WAT, West Africa Time);
UTC +1 (WEST, Western European Summer Time);
UTC +1 (WST, Western Sahara Summer Time);
UTC +2 (CAT, Central Africa Time);
UTC +2 (CEST, Central European Summer Time);
UTC +2 (EET, Eastern European Time);
UTC +2 (IST, Israel Standard Time);
UTC +2 (SAST, South Africa Standard Time);
UTC +2 (WAST, West Africa Summer Time);
UTC +3 (AST, Arabia Standard Time);
UTC +3 (EAT, Eastern Africa Time);
UTC +3 (EEST, Eastern European Summer Time);
UTC +3 (FET, Further-Eastern European Time);
UTC +3 (IDT, Israel Daylight Time);
UTC +3 (MSK, Moscow Standard Time);
